CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
3	Broyden	0	-0.04918076825	-89.29186301	-144.8	2.388331929	YY	10.25	0.3561194745	self-energy/D	sharp_wc_2_b_50	2	2	1.239744461	-0.2532995437	1.955516756	-4.069951961	1.962186248	-4.643536223	1.759538996	0.2405490994	0.3599695715	-4.638836224	1.7599914	0.2468789357	0.3581915096	-0.3601713828	1.993848868	-3.812854867	1.300267391	a248bdd	2x2_2C_8b_C2v_L	11.05	1.344763263	2	1.678285176	0.9999999997696065	1.0	-0.1423222	0.8271421462	0.0003863565317	-0.0003046318882	-0.02431685162	-0.280685255	-0.1229881716	1.135607937	-0.02477593448	-0.2808140028	-0.1239076177	1.130926378	-0.3202295297	0.2814724907	-0.0002588775014	-0.0006051125044	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.0009726252284	0.001725247558	-1.122844697	0.4030759586	1.718931442	-1.582807996	0.1879937262	-1.371570342	-1.718333677	1.580236389	-0.1898263598	1.372568447	0.0009594879944	-0.00647266997	-2.18087481	3.327233202	2024-10-21@18:31	2.125	-0.6387749493	1	-2.403261195e-16	-0.2399447087	-0.75	2.92150931e-16	0.1147157362	v2.7.1	
2	Broyden	0	-6.937826657e-11	-204.3401653	-194.4	1.722417391	YY	9	0.9843365695	self-energy/D	sharp_wc_2_b_50	1	2	1.296377885	-1.201864945	1.999999985	-7.904099243	1.999999992	-13.83293856	1.999999999	3.267273291	5.573463614e-09	-13.90271172	1.999999998	3.285715409	3.345322944e-09	4.262148754	0.001148094969	-29.61408226	1.936009092	a248bdd	2x2_2C_8b_C2v_L	13.15	1.984287952	2	1.911508061	0.9999999997691125	1.0000000000000004	0.000208253127	-0.0006043282067	0.0001401254797	-0.0004038537433	0.0001528367061	-1.502391236e-05	-1.250965607	2.773124553e-07	5.55264672e-05	-0.0001769200197	-1.257032384	2.618652036e-07	-2.361867097	0.0339450284	-3.089999627	1.395174803	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.2965393936	2.751244958e-10	-1.236369872	2.861219728e-07	1.080324875	-1.781214227e-07	6.597793765e-05	0.0002600077615	-1.06910637	2.005463236e-07	0.0001124719165	0.0001471088627	-8.210462419e-05	-0.006243198471	-0.002532728661	0.001281240507	2024-10-21@18:35	2.125	-0.2342056065	1	-1.210004843e-16	-0.1325932854	-1.5	-3.535478782e-16	0.0613057038	v2.7.1	
4	Broyden	0	-0.04573918107	-80.97159931	-128.8	5.228871464	YY	10.25	0.3925262087	self-energy/D	sharp_wc_2_b_50	3	2	1.216329733	-0.05195263267	1.939863993	-2.63657839	1.956007481	-3.566985292	1.680200235	0.2034302244	0.5295954215	-3.573500912	1.680712677	0.2042749202	0.5294133078	-0.3386060247	1.989430185	-3.056454237	1.173928341	a248bdd	2x2_2C_8b_C2v_L	11.05	1.377254197	2	1.660066262	0.9999999997511997	1.0	-0.1131188119	0.9235319301	0.0002147201232	-0.000581706986	-0.02568411695	-0.2966318102	-0.1297140472	1.261897874	-0.02581941168	-0.2963459444	-0.1298008793	1.260803085	-0.3705472355	0.3706896487	0.0002005009589	0.0002943469618	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.0006994385	0.002167917122	-0.9736491812	0.3822585984	1.620545529	-1.78504747	0.2038732283	-1.685011503	-1.622038816	1.783742797	-0.204327923	1.686635755	-0.000560342022	0.003435711995	-2.138589115	3.501005052	2024-10-21@18:36	2.125	-0.7077656442	1	5.398224498e-16	-0.2954592341	-0.75	-1.421631505e-16	0.1420944213	v2.7.1	
11	Broyden	0	-0.03995345263	-107.6818034	-162.4	2.915202412	YY	12.75	0.3210499248	self-energy/D	sharp_wc_2_b_50	3	2	1.220383716	0.03909828161	0.1196391118	-3.033417053	1.918554774	-5.467900303	1.637972333	0.2372843628	0.5168044958	-5.477461386	1.638148317	0.2376669181	0.5167677464	-0.3288191165	1.992796945	-5.873916051	1.29433535	a248bdd	2x2_2C_8b_C2v_L	13.15	1.291979484	2	1.628221036	0.9999999997652084	1.0	0.004536499731	-0.019355178	0.001175584237	-0.00216473319	-0.03266793181	-0.2652767215	-0.1592929778	1.213063226	-0.0328459656	-0.2648252042	-0.1595610901	1.214130295	-0.3219013699	0.2248818151	-0.0002622877998	-8.013445947e-06	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.1622143001	1.165549976	-1.472308277	0.5661906958	2.545922128	-2.019347853	0.2639700179	-1.543369245	-2.548002502	2.019747212	-0.2641430495	1.543064597	0.0006211691909	-0.002826538878	-3.458021559	3.40459332	2024-10-21@18:40	3.375	-0.7398613826	1	-9.525821924e-17	-0.2747925519	0.75	1.437834205e-16	0.1098769437	v2.7.1	
5	Broyden	0	-0.03197432311	-76.86660942	-112.8	7.605031762	YY	10.25	0.4111924308	self-energy/D	sharp_wc_2_b_50	4	2	1.182656052	-0.0236894788	1.886498298	-2.185854194	1.940776221	-2.862624807	1.548686472	0.1804376653	0.7339065221	-2.862865958	1.548763507	0.18054492	0.7338761379	-0.3265543575	1.983386976	-2.419995213	1.033349945	a248bdd	2x2_2C_8b_C2v_L	11.05	1.389653375	2	1.626116538	0.9999999998318934	0.9999999999999997	-0.1359365463	1.245841869	-4.805614061e-05	9.394083014e-05	-0.02960893701	-0.2879099014	-0.121830029	1.353561251	-0.0296451247	-0.287963399	-0.1218003726	1.353219763	-0.4414329573	0.4875679558	-0.0001550691005	0.0005287272644	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.0001575695641	-0.0009839200548	-0.9444753708	0.4099796656	1.576213058	-2.117095447	0.2234846877	-1.905609188	-1.576299636	2.116857797	-0.2235437251	1.905952269	-2.125962807e-05	0.0004200093124	-2.112328316	3.623964223	2024-10-21@18:42	2.125	-0.7987935869	1	-4.172167433e-16	-0.3625979811	-0.75	1.327945141e-16	0.1807723574	v2.7.1	
20	Broyden	0	-0.005427558754	-102.2632429	-161.6	1.630398563	YY	11.5	0.3083460613	self-energy/D	sharp_wc_2_b_50	2	2	1.24715499	-0.4071285312	1.992208614	-4.053184611	1.95450829	-5.350143075	1.724943186	0.6762865863	0.0234475267	-5.343530536	1.724686677	0.6869988018	0.0234732353	-1.093057431	1.997832918	-4.95477048	1.377130651	a248bdd	2x2_2C_8b_C2v_L	12.1	1.298568813	2	1.664838342	0.9999999999034147	0.9999999999999998	-0.09272577392	0.3770936708	-0.001291890895	0.001166873536	-0.02122293752	-0.01716616889	-0.09914970759	0.2819641401	-0.02204236303	-0.01615494985	-0.1030268965	0.2905810482	-0.2254288026	0.1572821283	0.0001180925289	0.001601085779	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.005000210195	-0.004070904054	-1.375581136	0.4680350413	2.163164224	-1.781475346	0.1636031166	-0.4068820791	-2.161009919	1.782479	-0.1624528745	0.4016090327	-0.008764073188	0.02306052301	-2.761943999	3.198687999	2024-10-21@18:43	2.75	-0.6324545008	1	-1.125605249e-17	-0.2115939152	0	0.09474038744	v2.7.1	
6	Broyden	0	-0.0369035528	-102.4953344	-146.4	5.270163229	YY	12.75	0.3330191501	self-energy/D	sharp_wc_2_b_50	4	2	1.193950765	0.05799567742	0.2358350972	-2.556662123	1.87078316	-4.65716686	1.529089876	0.2493768599	0.6948894296	-4.657282727	1.529143954	0.2494742695	0.6949854982	-0.2857971468	1.992236367	-5.031487474	1.184664367	a248bdd	2x2_2C_8b_C2v_L	13.15	1.294191757	2	1.59605299	0.9999999998160762	1.0	7.604653566e-05	-0.0004167130631	-3.851209475e-05	0.0001820533134	-0.03154657041	-0.3168694729	-0.1237549169	1.231610305	-0.03161188767	-0.3168507318	-0.1236768603	1.231212858	-0.347459165	0.2440502298	-2.459631229e-05	4.379981556e-05	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.1978822417	1.56706328	-1.424564087	0.6907122645	2.467701079	-2.299713912	0.3025958813	-1.798853809	-2.467766632	2.299516381	-0.3026564912	1.799288486	-3.96448756e-05	0.0001808447947	-3.380675914	3.581304052	2024-10-21@18:46	3.375	-0.8257984859	1	-2.67202951e-17	-0.3289138049	0.75	-3.658396773e-17	0.1292022823	v2.7.1	
28	Broyden	0	-1.453119621e-06	-73.14757099	-144	0.2239004113	YY	9	0.5106345746	self-energy/D	sharp_wc_2_b_50	1	2	1.256137875	0.02549904416	0.0343968183	-3.720397672	1.986926338	-3.323072779	1.84712873	-0.04649859904	1.418694209	-3.324275193	1.847179039	-0.0465701784	1.418753016	0.2158764566	0.4822985711	-2.753472691	1.349842422	a248bdd	2x2_2C_8b_C2v_L	10	1.506077743	2	1.747553285	0.9999999997691846	1.0000000000000004	0.07853354769	-0.1107574515	0.0003283863126	0.03302379147	0.001883698121	-0.05618123327	-0.1113362613	2.481848706	-0.001904183763	0.05621367578	-0.1113675407	2.481841998	0.01214293316	-1.062937417	-0.003226178971	-0.3709590235	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.007085566915	-0.1466999108	-0.7488302517	0.170069067	1.119141592	-1.024666685	0.01398942502	-0.2055821287	-1.119348013	1.02450941	0.01401422681	-0.2058526424	0.277011061	-1.060651864	-1.466300677	3.122043097	2024-10-21@18:58	1.5	-0.5338459677	1	-2.132889848e-16	-0.2196178219	-1.5	3.906545747e-17	0.1074117538	v2.7.1	
5	Broyden	0	-0.05155359648	-96.79398432	-160.8	-0.248776679	YY	10.25	0.3069873375	self-energy/D	sharp_wc_2_b_50	1	2	1.26635682	0.1229091303	0.03290363115	-4.542165172	1.956616802	-5.877101694	1.822280571	0.2063625756	0.3250014746	-5.878393457	1.822092869	0.2069385745	0.325020242	-0.3001298619	1.996865463	-5.630649754	1.502567572	a248bdd	2x2_2C_8b_C2v_L	11.05	1.299357336	2	1.692248595	0.999999999838941	1.0	0.0006080137809	-0.001183629732	-0.0001959994113	0.0004610513685	-0.01537474345	-0.265758225	-0.07892222795	1.032767599	-0.01533415619	-0.2661546545	-0.07914468725	1.034768491	-0.2338418866	0.1810945307	-2.356321315e-05	1.666835246e-05	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.09212999095	-0.5810688539	-1.096437236	0.4913286048	1.743852623	-1.382627908	0.1546231292	-1.266344242	-1.744273941	1.383836353	-0.1545513241	1.265531668	0.0001482597552	-0.001110092464	-2.291636767	2.929518587	2024-10-21@19:00	2.125	-0.5534722093	1	7.088260396e-17	-0.1731539349	0	0.07568772528	v2.7.1	
3	Broyden	0	-0.0486661526	-94.42997953	-144.8	3.081874864	YY	10.25	0.3167354329	self-energy/D	sharp_wc_2_b_50	2	2	1.253334866	0.1880924532	0.0303715286	-4.391249376	1.957148152	-5.546355721	1.792773537	0.2681769566	0.2617135108	-5.547653621	1.792822683	0.2696660474	0.2612238443	-0.3634926759	1.996174627	-4.802858878	1.417296209	a248bdd	2x2_2C_8b_C2v_L	11.05	1.307476217	2	1.681576356	0.9999999997744041	1.0000000000000002	6.138884332e-05	-0.0001203199317	4.707835622e-06	-3.546362993e-05	-0.02151156038	-0.2659317819	-0.09738137472	1.004236243	-0.02159041628	-0.2660100694	-0.09750669035	1.00324283	-0.2632515329	0.2113023685	-4.392993605e-05	0.0002621911548	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.1138830075	-0.6188547195	-1.150530241	0.4679435622	1.79759697	-1.507660562	0.1802770588	-1.115040554	-1.797967412	1.507441283	-0.180610368	1.114869942	-5.58048158e-05	0.0005403556495	-2.275999922	3.112567402	2024-10-21@19:03	2.125	-0.5995729192	1	2.641638525e-16	-0.2052856584	0	0.08930793856	v2.7.1	
4	Broyden	0	-0.04689149661	-88.31807531	-128.8	6.238219161	YY	10.25	0.3489171247	self-energy/D	sharp_wc_2_b_50	3	2	1.236505924	0.2603306967	0.04177764306	-3.705574347	1.955674627	-4.561311722	1.744150066	0.2707251089	0.298710223	-4.563194063	1.744028032	0.2713401839	0.2988534183	-0.3586888912	1.994723861	-3.977057198	1.313158514	a248bdd	2x2_2C_8b_C2v_L	11.05	1.33721944	2	1.672662577	0.9999999997796439	0.9999999999999998	-0.001116457283	0.00162721301	0.000404663679	-0.0005641309693	-0.02268335317	-0.2872176312	-0.1168969264	1.041142671	-0.02278514344	-0.2871070458	-0.1171694616	1.042574881	-0.2882970271	0.253168105	9.772107569e-05	-0.0005166251599	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.1394081701	-0.7910915608	-1.146321951	0.4407429638	1.745149759	-1.644072593	0.1966582922	-1.236080257	-1.745530136	1.644973935	-0.1967826448	1.235728679	0.0001386737938	-0.001158161073	-2.252401164	3.306026648	2024-10-21@19:07	2.125	-0.6501447997	1	-1.806657331e-16	-0.2485536853	0	0.1068256172	v2.7.1	
